Mg,Ca,Zn,Temperature,Time,Hardness
99.09,0.31,0.6,200,0.02,50.3509
99.09,0.31,0.6,200,0.12,61.8246
99.09,0.31,0.6,200,0.3,63.5088
99.09,0.31,0.6,200,0.6,63.2281
99.09,0.31,0.6,200,1,62.9825
99.09,0.31,0.6,200,1.6,63.3333
99.09,0.31,0.6,200,2.85,63.2281
99.09,0.31,0.6,200,6,61.4737
99.09,0.31,0.6,200,10,59.6491
99.09,0.31,0.6,200,15.7,57.2632
99.09,0.31,0.6,200,30,53.3333
99.09,0.31,0.6,200,54,52
99.09,0.31,0.6,200,100,48.4912
99.09,0.31,0.6,200,151.5,47.614
99.09,0.31,0.6,200,284,45.7895
99.1,0.3,0.6,200,0.002,43.4708
99.1,0.3,0.6,200,0.0043,47.8694
99.1,0.3,0.6,200,0.008,49.8625
99.1,0.3,0.6,200,0.017,52.543
99.1,0.3,0.6,200,0.048,56.1168
99.1,0.3,0.6,200,0.1,59.9656
99.1,0.3,0.6,200,0.3,62.7148
99.1,0.3,0.6,200,0.6,63.677
99.1,0.3,0.6,200,1,64.7766
99.1,0.3,0.6,200,1.6,66.0825
99.1,0.3,0.6,200,3,64.5704
99.1,0.3,0.6,200,6.1,61.7526
99.1,0.3,0.6,200,10,58.7285
99.7,0.3,0,200,0.002,37.6976
99.7,0.3,0,200,0.0042,37.5601
99.7,0.3,0,200,0.008,37.4227
99.7,0.3,0,200,0.017,37.6976
99.7,0.3,0,200,0.048,38.3849
99.7,0.3,0,200,0.1,40.0344
99.7,0.3,0,200,0.3,42.0962
99.7,0.3,0,200,0.6,44.2955
99.7,0.3,0,200,1,46.0137
99.7,0.3,0,200,1.6,46.4948
99.7,0.3,0,200,3,47.0447
99.7,0.3,0,200,6,47.732
99.7,0.3,0,200,10,46.4948
97.6,0,2.4,160,0.1,47.4472
97.6,0,2.4,160,1,48.7148
97.6,0,2.4,160,2,49.507
97.6,0,2.4,160,4,50.9331
97.6,0,2.4,160,8,56.9542
97.6,0,2.4,160,16,58.8556
97.6,0,2.4,160,24,61.8662
97.6,0,2.4,160,48,63.1338
97.6,0,2.4,160,71.5,64.4014
97.6,0,2.4,160,95,64.8768
97.6,0,2.4,160,120,65.9859
97.6,0,2.4,160,166,65.5106
97.6,0,2.4,160,239,65.3521
97.6,0,2.4,160,357,67.412
97.6,0,2.4,160,476,64.4014
97.6,0,2.4,160,712,63.2923
97.6,0,2.4,160,1217,62.0246
97.6,0,2.4,160,1446,63.4507
97.5,0.1,2.4,160,0.1,47.4472
97.5,0.1,2.4,160,1,53.3099
97.5,0.1,2.4,160,2,55.5282
97.5,0.1,2.4,160,4,57.4296
97.5,0.1,2.4,160,8,57.2711
97.5,0.1,2.4,160,12,58.3803
97.5,0.1,2.4,160,16,65.1937
97.5,0.1,2.4,160,24,70.7394
97.5,0.1,2.4,160,48,74.0669
97.5,0.1,2.4,160,73,72.4824
97.5,0.1,2.4,160,97,72.4824
97.5,0.1,2.4,160,118,72.6408
97.5,0.1,2.4,160,244,67.8873
97.5,0.1,2.4,160,476,67.412
97.5,0.1,2.4,160,1391,65.8275
99.01,0.61,0.38,200,0.25,55.7143
99.01,0.61,0.38,200,0.5,60.7013
99.01,0.61,0.38,200,1,62.1039
99.01,0.61,0.38,200,2,62.7273
99.01,0.61,0.38,200,4,61.3247
99.01,0.61,0.38,200,10,57.8961
99.01,0.61,0.38,200,23,55.2468
99.39,0.61,0,200,0.08,39.1948
99.39,0.61,0,200,1,40.4416
99.39,0.61,0,200,2,42.3117
99.39,0.61,0,200,4,45.8961
99.39,0.61,0,200,8,48.3896
99.39,0.61,0,200,16,46.987
99.39,0.61,0,200,24,46.2078
99.39,0.61,0,200,51,46.0519
99.39,0.61,0,200,100,45.1169
99.39,0.61,0,200,288,42.9351
99.7,0.3,0,200,0.1,41.4706
99.7,0.3,0,200,0.25,44.8128
99.7,0.3,0,200,0.5,46.4171
99.7,0.3,0,200,1,48.5561
99.7,0.3,0,200,2,50.6952
99.7,0.3,0,200,4,51.0963
99.7,0.3,0,200,16,50.9626
99.7,0.3,0,200,24,51.0963
99.7,0.3,0,200,202,48.0214
97.78,1,1.22,150,0,59.3112
97.78,1,1.22,150,1,64.4126
97.78,1,1.22,150,2,63.5191
97.78,1,1.22,150,4,60.8393
97.78,1,1.22,150,8,61.347
97.78,1,1.22,175,2,70.8533
97.78,1,1.22,175,4,71.8087
97.78,1,1.22,175,8,73.847
97.78,1,1.22,175,24,71.4771
97.78,1,1.22,175,48,70.8878
97.78,1,1.22,175,96,71.8776
97.78,1,1.22,200,0,59.3112
97.78,1,1.22,200,2,65.815
97.78,1,1.22,200,4,65.5586
97.78,1,1.22,200,8,69.6377
97.78,1,1.22,200,24,65.0357
97.78,1,1.22,200,48,63.2984
97.78,1,1.22,200,96,61.4821
97.6,0,2.4,160,0.1,47.5668
97.6,0,2.4,160,1,48.9911
97.6,0,2.4,160,2,49.6142
97.6,0,2.4,160,3.7,51.3056
97.6,0,2.4,160,8.5,56.8249
97.6,0,2.4,160,15,59.1395
97.6,0,2.4,160,25,61.7211
97.6,0,2.4,160,46,63.2344
97.6,0,2.4,160,72,64.4807
97.6,0,2.4,160,90,65.0148
97.6,0,2.4,160,118,66.7062
97.6,0,2.4,160,168,65.638
97.6,0,2.4,160,233,65.3709
97.6,0,2.4,160,348,65.1929
97.6,0,2.4,160,703,63.3234
97.6,0,2.4,160,1162,62.5223
97.6,0,2.4,160,1420,62.9674
97.6,0,2.4,70,0.1,47.5668
97.6,0,2.4,70,8,48.0119
97.6,0,2.4,70,15.7,47.7448
97.6,0,2.4,70,23,47.0326
97.6,0,2.4,70,47,47.0326
97.6,0,2.4,70,71,47.5668
97.6,0,2.4,70,93,48.1009
97.6,0,2.4,70,117,48.724
97.6,0,2.4,70,230,50.0593
97.6,0,2.4,160,0.1,48.3073
97.6,0,2.4,160,1,49.8439
97.6,0,2.4,160,2,50.4202
97.6,0,2.4,160,4,51.7647
97.6,0,2.4,160,8,56.9508
97.6,0,2.4,160,16,60.4082
97.6,0,2.4,160,25,63.0972
97.6,0,2.4,160,49,64.4418
97.6,0,2.4,160,73,65.5942
97.6,0,2.4,160,96,65.9784
97.6,0,2.4,160,119,66.7467
